dy,dx,Reference_Area,Year
-0.008168270217112306,0.03853624618115349,Canada,2001
-0.004003999728558638,0.01053139516821864,Canada,2002
-0.03425716760974806,0.014244775228469186,Canada,2003
-0.02506724218969475,0.020814740753440288,Canada,2004
-0.027820256411393407,0.04615782952994456,Canada,2005
0.01567597175636365,0.04303606807356067,Canada,2006
0.015761158624801874,0.02455410796173832,Canada,2007
-0.029607429249312145,0.022135337671275436,Canada,2008
0.12141739265329338,0.03355244022205034,Canada,2009
-0.08088077903553792,-0.0027239162090406666,Canada,2010
-0.03593504015388954,0.015409779884370228,Canada,2011
0.033759003869529514,0.014844971249572722,Canada,2012
-0.0024869350566404935,0.021703057306479468,Canada,2013
-0.030896085472206125,0.036119722197613814,Canada,2014
0.08275305150275741,0.001615189258368531,Canada,2015
-0.04446535534105678,-0.005888544243585903,Canada,2016
-0.0383224963588511,-0.008664644186152811,Canada,2017
0.013577615386341557,-0.009839783011413188,Canada,2018
0.008371112046205997,-0.0015524036382343117,Canada,2019
0.028649238982946634,0.12828311347519858,Canada,2020
-0.08462962705208077,0.39452676601790565,Canada,2021
-0.08008125898016147,-0.03592833050382372,Canada,2022
-0.0037959069185956595,0.022460393631646123,France,2001
0.022027245302959297,0.03683700898260957,France,2002
0.0055131207731276,0.016731957874133067,France,2003
-0.02539080840706831,0.002829736624559244,France,2004
-0.0011834451759900055,0.011872902700815657,France,2005
-0.003076669381297914,0.02079530512578205,France,2006
-0.04594509125942203,-0.005114309519159109,France,2007
-0.0020159678284015214,0.012901941030133847,France,2008
0.09734658934371498,0.03188725719550898,France,2009
-0.0007813379773254914,0.007289794223371095,France,2010
0.011631201399281865,0.003355974285114178,France,2011
0.04925357834008304,0.013475737980943554,France,2012
0.019335666574601174,0.020595405176180547,France,2013
0.007513477426227211,0.012712478177610183,France,2014
-0.01917958489470517,0.009557661037298578,France,2015
0.016002163673433656,0.004391648224314749,France,2016
0.021626484151729186,0.014002025045460675,France,2017
-0.004178744248709787,0.001386107948891175,France,2018
-0.0710260338414217,0.002942044162137475,France,2019
0.033343260868371916,0.08983625023588229,France,2020
-0.008945967397041898,-0.0636756386869152,France,2021
0.00898861295048492,-0.023728723363388517,France,2022
-0.056659132107849675,0.02605411624879165,Germany,2001
-0.017846669461883624,0.01944700870492136,Germany,2002
0.006077777626825709,0.020456884398382606,Germany,2003
-0.05841651042728335,0.003320783888641308,Germany,2004
-0.03346280567953386,0.016009288515995507,Germany,2005
-0.07839640291319461,-0.008533873604664477,Germany,2006
-0.04370549627651932,-0.0023331847907233465,Germany,2007
0.05203888059022832,0.005592823914041083,Germany,2008
0.15285097376288737,0.028773418902637626,Germany,2009
-0.07763711022610265,-0.011633682134765792,Germany,2010
-0.02131846147403793,-0.0026845999542948387,Germany,2011
0.055784640313179534,0.010959875564947855,Germany,2012
0.012693695863394638,0.005915629922162768,Germany,2013
-0.015221687387826033,-0.002594817772151375,Germany,2014
0.00538426780339063,0.0018930440702753185,Germany,2015
-0.0025011506121757066,0.004940217456198704,Germany,2016
-0.0131443837889621,0.006059673310085292,Germany,2017
0.03612791142386862,0.008826051828466151,Germany,2018
0.03198641894237808,0.013965416067028908,Germany,2019
0.031073167885928288,0.05699964822040869,Germany,2020
-0.08937594240137958,-0.016383116270139702,Germany,2021
-0.09315950059884404,-0.005495142861975541,Germany,2022
-0.013353705900680413,0.011786735990279497,Italy,2001
0.017538373361589144,0.01651577429030481,Italy,2002
0.03626047117665293,0.012549559837683827,Italy,2003
-0.0022337732025380364,0.013287034157682585,Italy,2004
0.023058698626406193,0.015340139904925235,Italy,2005
0.015201496055526176,-0.0017220113509454592,Italy,2006
-0.008613838442652622,0.0037206344643403305,Italy,2007
0.01631184152712084,0.017901840591656774,Italy,2008
0.08325202186636094,0.03895675736875165,Italy,2009
0.0055269610099665245,0.009913002304552495,Italy,2010
-0.026389836380856457,0.002729893773412801,Italy,2011
0.008520689536477999,0.019729958868067575,Italy,2012
-0.010622830378371861,0.017600897718196864,Italy,2013
-0.010922971434461748,-0.007145653334177028,Italy,2014
-0.006797463829103845,-0.013348318815010835,Italy,2015
-0.02988093293193972,-0.0178266898819189,Italy,2016
-0.024736907490708337,-0.009401683545736665,Italy,2017
0.009998803558939895,-0.006300313883282685,Italy,2018
0.01542565218618941,0.003466668209827839,Italy,2019
-0.011716050667286426,0.12199995218259997,Italy,2020
-0.020579403858665857,-0.0896986558815663,Italy,2021
-0.08285578767505208,-0.02764638934066354,Italy,2022
-0.009935158828714985,0.030209618994461573,Japan,2001
-0.0740812472411807,0.03125623037711197,Japan,2002
-0.031843174758130255,0.012915343272082554,Japan,2003
-0.04961207021920733,0.015356095390622115,Japan,2004
0.01855069643695184,0.009811037664321716,Japan,2005
0.011127222910394807,-0.0017083837399764889,Japan,2006
-0.005078076385708119,0.0011403684538498632,Japan,2007
0.05145813124433973,0.015140443156639281,Japan,2008
0.010213934264794333,0.040765666534849684,Japan,2009
-0.08164080692081216,-0.011861184170803077,Japan,2010
0.045545295768131266,0.00020322412490325712,Japan,2011
-0.014380687140844173,-0.003012806480353036,Japan,2012
-0.016258760628320268,0.005885621546292293,Japan,2013
-0.008657980505351492,0.003317449140823446,Japan,2014
-0.07567235151786789,0.009430725198329529,Japan,2015
0.01747739249517405,-0.0028891371557181727,Japan,2016
-0.0051166615762349155,-0.003833903443452794,Japan,2017
0.044892260753127716,0.0022558146653870776,Japan,2018
0.03302874450525048,0.017232038467302136,Japan,2019
0.033256363234069,0.03563494362246539,Japan,2020
-0.0027218556843446318,-0.004150249274759037,Japan,2021
0.02474447888364223,0.0004929139940917987,Japan,2022
0.05319139192956979,0.01583128792540093,United Kingdom,2001
-0.04063354431459404,0.027563133495556603,United Kingdom,2002
0.010872282291096047,0.015235141596809262,United Kingdom,2003
0.06545359711243737,0.008238077483415561,United Kingdom,2004
0.003630898937425686,-0.0011517152437770135,United Kingdom,2005
-0.006231043467288866,0.027783195577057752,United Kingdom,2006
0.054981679297331776,0.014372046166922874,United Kingdom,2007
-0.007421441807248796,0.011829144962420875,United Kingdom,2008
-0.003359076600236932,0.04019446314168103,United Kingdom,2009
0.0282606897086366,0.007642325073349452,United Kingdom,2010
-0.04680863825177467,0.011842186993897535,United Kingdom,2011
-0.019912821915749,-0.012390685746752042,United Kingdom,2012
0.028388090665130983,-0.01668527262457837,United Kingdom,2013
-0.0514969850891992,-0.000852394367401435,United Kingdom,2014
0.019799869833645733,0.007830251350184038,United Kingdom,2015
0.039685092270632605,-0.004689230668409108,United Kingdom,2016
-0.05103843204944586,0.030380024023897615,United Kingdom,2017
0.0035870780197927443,0.007804365237673024,United Kingdom,2018
0.008149885640765797,0.01139885588752089,United Kingdom,2019
-0.19112150114121623,0.2433736101532894,United Kingdom,2020
0.20316916619823255,-0.1903449820432381,United Kingdom,2021
-0.09806471498775071,-0.0034044671177124383,United Kingdom,2022
-0.00786729073286363,0.04799488475109958,United States,2001
-0.056464846510445366,0.03931733256360173,United States,2002
-0.033350466859020544,0.03203118038531777,United States,2003
-0.019380203888217373,0.016814287320314446,United States,2004
-0.03794821714128721,0.016508997635209032,United States,2005
-0.006889982764005764,0.016720248976156024,United States,2006
0.017576670756143997,0.0214193242870572,United States,2007
-0.008330597262547368,0.03691564420385984,United States,2008
-0.057123297802685935,0.07232252865943924,United States,2009
-0.042308143912037466,0.012102687924174788,United States,2010
0.0009079407917151894,0.0021601102056701994,United States,2011
-0.00472765954120985,0.004233118185894679,United States,2012
-0.016121871676227695,0.006327412192356378,United States,2013
9.224659787643308e-06,0.006766740944351285,United States,2014
0.018137159995665786,0.005465980157915058,United States,2015
-0.00995558448899958,0.010644716426147581,United States,2016
0.005383608329788014,0.011597905904735716,United States,2017
0.001057043051351847,0.010438754581450577,United States,2018
-0.006602882841326263,0.020104989523183795,United States,2019
0.03893414881150992,0.08829146162328766,United States,2020
-0.056175321760101815,-0.01479499245967366,United States,2021
