Region;Cluster;Country Name;Country Code;Log GDP pc (Constant 2021 international $, 2023);Governance score (-2,5 to 2,5, 2023);Human capital index plus  (HCI+): overall score (0-325, 2025);Gross capital formation (% of GDP, 2023);Trade (% of GDP, (2023);Total natural resources rents (% of GDP, 2021);Manufacturing, value added (% of GDP, 2023);Services, value added (% of GDP, 2023)
Central America & Caribbean;C. Am. & Carib.;Honduras;HND;8,774603673;-0,744332443;140,4269225;22,18643096;98,79197983;1,224553137;15,20653935;57,57181593
East Asia;East Asia;Hong Kong SAR, China;HKG;11,07340538;1,071812078;258,364619;16,13969662;353,0075001;0,000992609;0,945428852;91,37047296
South Asia;South Asia;India;IND;9,137958482;-0,063363679;158,7611599;33,36231036;44,99284229;3,159345376;13,018629;49,50718784
Southeast Asia;SE Asia;Indonesia;IDN;9,538922629;-0,004027337;175,3689801;30,34258647;41,33628687;5,157040085;18,66741645;42,87935174
Middle East;Middle East;Iran, Islamic Rep.;IRN;9,743601469;-1,358400166;180,4553217;43,7728069;49,3935501;30,44806009;21,6209509;47,62891657
Middle East;Middle East;Iraq;IRQ;9,488148063;-1,535692513;;24,0865197;69,4613208;43,44585769;3,016036251;43,66794089
Middle East;Middle East;Israel;ISR;10,76905643;0,509964963;248,5707779;26,1101982;57,99032071;0,44142475;11,72863944;72,14684131
Central America & Caribbean;C. Am. & Carib.;Jamaica;JAM;9,341264422;0,194641276;200,1253372;;;0,457652062;7,937255463;59,88290973
East Asia;East Asia;Japan;JPN;10,73331933;1,348072092;283,7944818;26,18216375;45,15087956;0,047304463;20,58104872;69,77279581
Middle East;Middle East;Jordan;JOR;9,14647942;-0,004516035;170,2096904;;100,3478688;0,077664097;17,28639023;60,77757421
Central Asia & Caucasus;C. Asia & Cauc.;Kazakhstan;KAZ;10,45458819;-0,296298773;229,7875173;28,15713554;62,33428377;26,84231733;12,28818841;56,34446867
Sub-Saharan Africa;Sub-Sah. Africa;Kenya;KEN;8,646786238;-0,475581506;170,8101736;16,57075047;41,11109042;1,227928578;7,487436484;55,47434715
Oceania;Oceania;Kiribati;KIR;8,052163814;0,468997013;161,8945576;25,84597395;107,6037785;0,043500143;4,71737601;67,10602287
East Asia;East Asia;Korea, Rep.;KOR;10,89728258;1,023225208;266,9022869;31,89122009;82,25800907;0,049812575;25,45514208;58,88462322
Eastern Europe;E. Europe;Kosovo;XKX;9,563824443;-0,2139145;;33,94562931;109,9518516;0,928898943;12,91912412;46,56465223
Middle East;Middle East;Kuwait;KWT;10,77430803;0,115127469;194,5024568;17,72216612;96,07978816;;7,551628847;52,07390138
Central Asia & Caucasus;C. Asia & Cauc.;Kyrgyz Republic;KGZ;8,791147784;-0,85118103;197,5045516;34,45900595;132,3734039;11,50654102;12,56159792;51,29934844
Southeast Asia;SE Asia;Lao PDR;LAO;9,032666707;-0,6992685;135,560141;;;5,382761126;9,247877358;43,99741651
Middle East;Middle East;Lebanon;LBN;9,335233073;-1,193380117;160,1005319;1,897544099;104,2064101;0,002764038;;42,38046234
Sub-Saharan Africa;Sub-Sah. Africa;Lesotho;LSO;7,861661402;-0,468179039;99,46026304;27,22066872;141,5137559;4,317881905;13,98369435;50,56696057
Sub-Saharan Africa;Sub-Sah. Africa;Liberia;LBR;7,388280693;-0,710226622;;;;21,91560009;;40,49037585
Maghreb;Maghreb;Libya;LBY;9,431609968;-1,739289125;;16,88042567;159,4338253;61,03470894;;23,9767815
Western Europe;W. Europe;Liechtenstein;LIE;;1,614764949;;;;;34,17263272;57,4267189
East Asia;East Asia;Macao SAR, China;MAC;11,55995408;0,846380512;255,778757;15,2974689;145,8744673;0,000724556;0,761339915;90,86120292
Sub-Saharan Africa;Sub-Sah. Africa;Madagascar;MDG;7,396004547;-0,801285505;119,2137863;19,90835555;61,13304169;5,531188643;12,79792623;48,45839905
Sub-Saharan Africa;Sub-Sah. Africa;Malawi;MWI;7,408105466;-0,425020814;123,8416891;14,48307716;42,4376684;4,222504213;12,80203107;45,12449201
Southeast Asia;SE Asia;Malaysia;MYS;10,39994041;0,443322477;200,6172733;22,80175902;132,5934616;6,921966349;23,02023389;53,54665056
South Asia;South Asia;Maldives;MDV;10,01382282;-0,147161124;;33,05093471;149,3499762;0,003701822;1,966084284;70,76392092
Sub-Saharan Africa;Sub-Sah. Africa;Mali;MLI;7,958726609;-1,233087331;93,45265807;21,54522849;57,53326218;18,4178822;7,471172638;35,8983947
Oceania;Oceania;Marshall Islands;MHL;8,824915318;0,507735858;145,2293859;19,29662148;118,4935975;0;2,622441536;69,71851369
Maghreb;Maghreb;Mauritania;MRT;8,74456383;-0,730341415;;44,54397831;92,16544451;11,44875209;6,504273998;43,02083168
Sub-Saharan Africa;Sub-Sah. Africa;Mauritius;MUS;10,18998189;0,737367988;183,5174849;19,92323511;147,3213921;0,002715269;11,5004474;64,86585768
North America;N. America;Mexico;MEX;9,995029212;-0,490528251;193,4685337;23,89451843;73,57886164;3,643073388;20,41802243;57,5637379
Oceania;Oceania;Micronesia, Fed. Sts.;FSM;8,246622571;0,540970465;;;97,85502687;0,017847756;0,512878129;69,62967309
Eastern Europe;E. Europe;Moldova;MDA;9,679748782;-0,156559866;221,7211902;20,084591;93,99462115;0,235942049;8,353124263;61,51581914
Western Europe;W. Europe;Monaco;MCO;;1,323450049;;;;0;;88,49654129
East Asia;East Asia;Mongolia;MNG;9,694176877;-0,080190614;209,453828;33,90037316;142,8642466;33,13721627;6,298087452;41,04336841
Eastern Europe;E. Europe;Montenegro;MNE;10,21257087;0,151851085;218,8646103;25,44748659;116,8066695;0,637197672;2,895407312;63,96245094
Maghreb;Maghreb;Morocco;MAR;9,095529964;-0,270166486;147,0509409;28,99835987;93,11788442;0,391702933;15,79185315;53,71475027
Sub-Saharan Africa;Sub-Sah. Africa;Mozambique;MOZ;7,321371349;-0,85700048;;19,53527454;106,0586134;14,90747686;7,117491499;41,10861806
Southeast Asia;SE Asia;Myanmar;MMR;8,587490966;-1,665326715;149,1855317;;;8,678503809;25,91919968;39,68484399
Sub-Saharan Africa;Sub-Sah. Africa;Namibia;NAM;9,224013725;0,275472019;140,689701;28,01249835;110,770714;4,030580594;11,05678154;53,29284823
Oceania;Oceania;Nauru;NRU;9,42323324;0,354842531;161,6440218;;143,9555556;0;;
South Asia;South Asia;Nepal;NPL;8,489046834;-0,448185958;133,2148668;31,14930015;41,57015029;0,49893691;4,540323153;55,37116847
Oceania;Oceania;New Zealand;NZL;10,809895;1,712726971;263,6683334;23,82113156;50,40643168;1,494113565;;
Central America & Caribbean;C. Am. & Carib.;Nicaragua;NIC;8,922195428;-1,023752821;178,0803234;22,15112274;105,0030976;3,840808938;14,43312629;46,49824988
Sub-Saharan Africa;Sub-Sah. Africa;Niger;NER;7,432225937;-0,849019627;101,4705996;21,684407;46,47555806;6,409070472;;46,51225401
Sub-Saharan Africa;Sub-Sah. Africa;Nigeria;NGA;8,967483103;-1,005022009;130,6874365;;;8,552954238;9,273101249;51,71432474
Eastern Europe;E. Europe;North Macedonia;MKD;10,06285259;0,032060892;202,4515812;29,62780589;147,7942535;0,136921064;14,38584029;56,92486875
Middle East;Middle East;Oman;OMN;10,53989549;0,186556806;206,1728249;26,66189809;106,446731;29,21157927;9,349045867;45,30403833
South Asia;South Asia;Pakistan;PAK;8,597624006;-1,038318773;129,5812746;13,96814704;28,46769255;1,435616333;13,64679346;50,96933527
Oceania;Oceania;Palau;PLW;9,706619036;0,755609622;226,609413;35,62496783;106,6975903;0;1,139365299;74,76885391
Central America & Caribbean;C. Am. & Carib.;Panama;PAN;10,48773883;-0,050726948;174,1615567;37,49288994;88,34891053;3,66479486;4,950972795;67,75734553
Oceania;Oceania;Papua New Guinea;PNG;8,344231155;-0,519315256;;;;27,38668125;1,660447279;42,0273807
South America;S. America;Paraguay;PRY;9,669414965;-0,342806052;180,8405729;20,15838497;82,40521077;1,347015878;19,40710341;48,13946638
South America;S. America;Peru;PER;9,637409229;-0,320024206;206,3738461;19,18440898;50,78518421;12,72470823;12,61927846;51,20611698
Southeast Asia;SE Asia;Philippines;PHL;9,200141838;-0,20338811;175,4483121;23,40615162;67,41996932;1,972633396;16,23032629;62,40201096
Central America & Caribbean;C. Am. & Carib.;Puerto Rico (US);PRI;10,66517849;0,287598058;;14,23993703;101,657551;0;43,68665109;51,57912097
Middle East;Middle East;Qatar;QAT;11,66619569;0,638721565;228,5884014;;;27,2897874;8,493014565;44,74635368
Eastern Europe;E. Europe;Russian Federation;RUS;10,59381426;-1,091121366;248,7904571;27,00761363;40,83432641;18,51093944;12,74645929;56,73546281
Sub-Saharan Africa;Sub-Sah. Africa;Rwanda;RWA;8,027149812;0,099274468;156,9442009;23,58552154;64,90690414;4,017236341;9,541066267;45,71433675
Oceania;Oceania;Samoa;WSM;8,907036337;0,661265492;164,3652093;36,06808303;80,84051252;0,280275449;4,803020606;70,73737402
Western Europe;W. Europe;San Marino;SMR;11,16975591;1,215503166;;16,58287753;340,983395;;31,76683878;56,89555265
Sub-Saharan Africa;Sub-Sah. Africa;Sao Tome and Principe;STP;8,619984712;-0,247379214;106,6317403;;;1,88439596;0,605602081;77,6368608
Middle East;Middle East;Saudi Arabia;SAU;11,07413898;0,105701461;209,7651967;29,20163985;54,16901183;25,56524182;15,89168373;44,75498568
Sub-Saharan Africa;Sub-Sah. Africa;Senegal;SEN;8,367477012;-0,08263662;109,3686663;41,92883942;71,39302491;4,40159712;14,54350517;49,58673358
Eastern Europe;E. Europe;Serbia;SRB;10,15561655;-0,078378099;230,3863768;24,61609349;114,4920646;1,746317665;13,29056204;57,78629706
Sub-Saharan Africa;Sub-Sah. Africa;Seychelles;SYC;10,26239747;0,702918885;226,5516473;20,57434155;180,8272625;0,120645133;4,690838732;67,32329206
Sub-Saharan Africa;Sub-Sah. Africa;Sierra Leone;SLE;8,017948938;-0,69372763;116,63967;19,70510164;55,28679694;9,037014141;7,665355364;42,16244437
Southeast Asia;SE Asia;Singapore;SGP;11,77186268;1,629702507;282,3709629;21,24379777;325,6932241;0,000180989;16,97555944;72,69073027
Eastern Europe;E. Europe;Slovak Republic;SVK;10,58451713;0,535509532;232,0076574;19,72761847;181,3908724;0,226150294;16,84694621;60,02524245
Oceania;Oceania;Solomon Islands;SLB;7,757724539;-0,187556826;;21,22404084;101,1345318;18,39504852;10,16557697;47,96462585
Sub-Saharan Africa;Sub-Sah. Africa;Somalia, Fed. Rep.;SOM;7,245403504;-1,974190215;;23,60832269;103,1210075;11,23569349;;
Sub-Saharan Africa;Sub-Sah. Africa;South Africa;ZAF;9,524813505;-0,099971638;132,1358907;15,3913175;65,67987597;7,328578592;12,98000555;62,72056863
Sub-Saharan Africa;Sub-Sah. Africa;South Sudan;SSD;;-2,070535342;;;;;;
South Asia;South Asia;Sri Lanka;LKA;9,474621293;-0,329063252;;24,58503428;43,5362303;0,083244497;18,05057324;59,84150649
Central America & Caribbean;C. Am. & Carib.;St. Kitts and Nevis;KNA;10,32929688;0,585489149;;;;0;4,062787254;65,47472862
Central America & Caribbean;C. Am. & Carib.;St. Lucia;LCA;10,06065129;0,583476324;201,0173972;;;0,01342949;3,308872277;76,25021908
Central America & Caribbean;C. Am. & Carib.;St. Vincent and the Grenadines;VCT;9,790220566;0,591710949;164,2324083;;;0,019329169;3,683541505;66,38561125
Sub-Saharan Africa;Sub-Sah. Africa;Sudan;SDN;7,687575034;-1,804705461;109,2757646;2,172798462;2,473728783;12,75021168;;41,38790526
South America;S. America;Suriname;SUR;9,853291887;-0,232656575;;;;9,592722094;25,48115388;48,83182711
Middle East;Middle East;Syrian Arab Republic;SYR;;-1,998078207;;;;;;
Central Asia & Caucasus;C. Asia & Cauc.;Tajikistan;TJK;8,405663494;-1,118999526;138,4691917;31,65130567;65,63470104;9,046347597;14,61257608;34,70826662
Sub-Saharan Africa;Sub-Sah. Africa;Tanzania;TZA;8,194448468;-0,387224933;132,6310686;41,00238874;38,21203481;6,69370907;8,398510723;28,69743463
Southeast Asia;SE Asia;Thailand;THA;9,961353268;-0,107481445;202,2971874;22,46050999;128,8241142;1,81702653;24,97928115;58,45681468
Southeast Asia;SE Asia;Timor-Leste;TLS;8,373571765;-0,282832784;;20,48845188;89,30465292;34,72974604;1,645114652;60,99929118
Sub-Saharan Africa;Sub-Sah. Africa;Togo;TGO;7,952344503;-0,659143324;136,1641785;;;7,864174198;11,72498821;48,77067269
Oceania;Oceania;Tonga;TON;8,85800161;0,281721029;175,7780009;25,93045137;79,6239205;0,040752466;4,964295897;49,98900877
Central America & Caribbean;C. Am. & Carib.;Trinidad and Tobago;TTO;10,34806451;0,031659799;189,9990569;18,98571706;;7,859368559;14,05733578;60,33315245
Maghreb;Maghreb;Tunisia;TUN;9,4454885;-0,374063132;161,1634554;8,207966404;112,128858;2,249230874;15,17352795;62,09312794
Middle East;Middle East;Turkiye;TUR;10,46507768;-0,560590195;228,2325156;34,58827651;65,68320847;0,827048727;19,46865145;54,35198245
Central Asia & Caucasus;C. Asia & Cauc.;Turkmenistan;TKM;9,790677367;-1,363247827;178,7687944;;34,0992738;;;49,4361478
Oceania;Oceania;Tuvalu;TUV;8,667748716;0,57157403;166,0962997;;;0;;
Sub-Saharan Africa;Sub-Sah. Africa;Uganda;UGA;7,934175215;-0,662620977;145,1760225;22,81601325;33,34169633;7,475520323;15,64934868;42,51253061
Eastern Europe;E. Europe;Ukraine;UKR;9,675140361;-0,621429626;220,3116257;18,07050464;77,50961419;7,512902364;8,312677157;61,21187195
Middle East;Middle East;United Arab Emirates;ARE;11,15967117;0,697471201;262,7698189;26,63867079;199,0449792;17,63409585;9,458613162;53,83519249
South America;S. America;Uruguay;URY;10,34365207;1,010941933;204,588747;17,53534249;52,91098707;1,927735205;9,744254844;65,65236876
Central Asia & Caucasus;C. Asia & Cauc.;Uzbekistan;UZB;9,211108627;-0,660865294;169,6120807;34,61562678;66,1051443;20,46516083;19,36369892;43,95284536
Oceania;Oceania;Vanuatu;VUT;8,075490079;0,16635592;136,4460045;;;0,568069761;;
South America;S. America;Venezuela, RB;VEN;;-1,697889328;;5,3260234;28,09460774;;;
Southeast Asia;SE Asia;Viet Nam;VNM;9,513841756;-0,339276905;214,3684196;31,64659598;164,8180713;2,547017088;24,17967245;42,29422796
Central America & Caribbean;C. Am. & Carib.;Virgin Islands (U.S.);VIR;;0,693812665;;;;;;
Middle East;Middle East;West Bank and Gaza;PSE;8,586930236;-0,971831699;157,9356879;25,59740922;79,53316637;0;9,929459488;58,53461752
Middle East;Middle East;Yemen, Rep.;YEM;;-1,953256051;;;;;;
Sub-Saharan Africa;Sub-Sah. Africa;Zambia;ZMB;8,208895863;-0,335020563;129,6845004;31,44506862;78,24188705;35,264148;8,502958799;56,81676424
Sub-Saharan Africa;Sub-Sah. Africa;Zimbabwe;ZWE;8,559873809;-1,179022104;139,3928181;10,02304326;40,2912612;6,398451611;15,27833091;49,56345425