Date;EXP_INF;PCE_HEAD;U_GAP
2003-01-01;2,1;3,1;0,845025172
2003-04-01;1,94;0,4;1,048037934
2003-07-01;2,27;2,7;1,050717746
2003-10-01;2,54;2;0,753061052
2004-01-01;2,46;3,1;0,65506445
2004-04-01;2,63;2,7;0,55672556
2004-07-01;2,48;2;0,358043916
2004-10-01;2,41;3,5;0,359021863
2005-01-01;2,45;2,3;0,259665428
2005-04-01;2,39;2,5;0,059985144
2005-07-01;2,34;4,4;-0,040003203
2005-10-01;2,42;3,2;-0,040277916
2006-01-01;2,43;2,1;-0,340810856
2006-04-01;2,57;3,6;-0,441567039
2006-07-01;2,57;2,9;-0,442504393
2006-10-01;2,42;-0,7;-0,643573673
2007-01-01;2,35;3,7;-0,544718558
2007-04-01;2,41;3,4;-0,545875919
2007-07-01;2,45;2,3;-0,346976277
2007-10-01;2,44;4,1;-0,247944429
2008-01-01;2,51;3,3;-0,048700251
2008-04-01;2,43;4;0,250840342
2008-07-01;2,39;4,3;0,950764292
2008-10-01;1,82;-6,2;1,851160171
2009-01-01;1,5;-2,7;3,252116845
2009-04-01;2,09;1,6;4,253722065
2009-07-01;2,24;2,8;4,556061003
2009-10-01;2,45;3,1;4,859214763
2010-01-01;2,6;1,6;4,763258903
2010-04-01;2,48;0,6;4,568261987
2010-07-01;2,11;0,8;4,474284213
2010-10-01;2,65;2,6;4,481376122
2011-01-01;2,7;3,4;3,989577447
2011-04-01;2,67;4;4,098916095
2011-07-01;2,49;1,9;4,009407317
2011-10-01;2,28;1,3;3,621053057
2012-01-01;2,49;2,7;3,333841514
2012-04-01;2,49;1;3,24774693
2012-07-01;2,61;1,2;3,062729601
2012-10-01;2,83;2,3;2,878736128
2013-01-01;2,86;1,4;2,795699888
2013-04-01;2,55;0,2;2,613541754
2013-07-01;2,47;1,7;2,33217101
2013-10-01;2,61;1,5;2,051486485
2014-01-01;2,61;1,8;1,87137787
2014-04-01;2,48;1,8;1,391727194
2014-07-01;2,53;1,1;1,312410445
2014-10-01;2,25;-0,5;0,9332993
2015-01-01;2,04;-1,8;0,754262934
2015-04-01;2,1;2;0,675169885
2015-07-01;2,01;1;0,395889929
2015-10-01;1,83;-0,3;0,31629594
2016-01-01;1,63;0,2;0,236265706
2016-04-01;1,64;2,6;0,255683656
2016-07-01;1,62;1,4;0,274442485
2016-10-01;1,95;1,8;0,192444627
2017-01-01;2,15;2,4;0,009603578
2017-04-01;1,93;0,8;-0,174154984
2017-07-01;1,94;1,4;-0,25889227
2017-10-01;2;2,4;-0,344655687
2018-01-01;2,18;2,8;-0,531478359
2018-04-01;2,19;2,1;-0,619378903
2018-07-01;2,21;1,3;-0,708361434
2018-10-01;2,15;1,5;-0,698415801
2019-01-01;1,99;0,8;-0,58951807
2019-04-01;1,94;2,3;-0,8816312
2019-07-01;1,83;1;-0,874705946
2019-10-01;1,76;1,6;-0,86868192
2020-01-01;1,57;1,4;-0,663488835
2020-04-01;1,48;-1,6;8,540952132
2020-07-01;1,72;3,2;4,344726862
2020-10-01;1,87;2,1;2,347926731
2021-01-01;2,05;4,6;1,74714701
2021-04-01;2,22;6,2;1,450210234
2021-07-01;2,19;5,6;0,652989583
2021-10-01;2,24;6,8;-0,244417691
2022-01-01;2,15;7,7;-0,541916779
2022-04-01;2,38;7,5;-0,840466729
2022-07-01;2,27;4,7;-0,938931749
2022-10-01;2,27;4,1;-0,837232367
2023-01-01;2,23;3,9;-0,935296441
2023-04-01;2,25;3;-0,933509996
2023-07-01;2,42;2,7;-0,831367881
2023-10-01;2,36;1,8;-0,62882424
2024-01-01;2,27;3,6;-0,625679657
2024-04-01;2,32;2,6;-0,422157075
2024-07-01;2,29;1,7;-0,218184956
2024-10-01;2,28;2,5;-0,313737266
2025-01-01;2,23;3,4;-0,309048681
2025-04-01;2,21;2,1;-0,20690622
2025-07-01;2,32;2,8;-0,104199708
2025-10-01;2,22;2,9;0,098158787