Date;JOB_OPENINGS_RATE;U_RATE
2001-01-01;3,7;4,2
2001-04-01;3,3;4,4
2001-07-01;3,1;4,8
2001-10-01;2,7;5,5
2002-01-01;2,7;5,7
2002-04-01;2,6;5,8
2002-07-01;2,5;5,7
2002-10-01;2,5;5,9
2003-01-01;2,4;5,9
2003-04-01;2,4;6,1
2003-07-01;2,3;6,1
2003-10-01;2,5;5,8
2004-01-01;2,6;5,7
2004-04-01;2,6;5,6
2004-07-01;2,7;5,4
2004-10-01;2,8;5,4
2005-01-01;2,9;5,3
2005-04-01;2,9;5,1
2005-07-01;3,1;5
2005-10-01;3,1;5
2006-01-01;3,2;4,7
2006-04-01;3,3;4,6
2006-07-01;3,2;4,6
2006-10-01;3,3;4,4
2007-01-01;3,4;4,5
2007-04-01;3,3;4,5
2007-07-01;3,2;4,7
2007-10-01;3,2;4,8
2008-01-01;3,1;5
2008-04-01;2,8;5,3
2008-07-01;2,5;6
2008-10-01;2,3;6,9
2009-01-01;2;8,3
2009-04-01;1,8;9,3
2009-07-01;1,8;9,6
2009-10-01;1,9;9,9
2010-01-01;2;9,8
2010-04-01;2,2;9,6
2010-07-01;2,2;9,5
2010-10-01;2,4;9,5
2011-01-01;2,4;9
2011-04-01;2,5;9,1
2011-07-01;2,7;9
2011-10-01;2,7;8,6
2012-01-01;2,8;8,3
2012-04-01;2,8;8,2
2012-07-01;2,8;8
2012-10-01;2,8;7,8
2013-01-01;2,9;7,7
2013-04-01;3;7,5
2013-07-01;2,9;7,2
2013-10-01;2,9;6,9
2014-01-01;3;6,7
2014-04-01;3,3;6,2
2014-07-01;3,5;6,1
2014-10-01;3,4;5,7
2015-01-01;3,7;5,5
2015-04-01;3,7;5,4
2015-07-01;3,8;5,1
2015-10-01;3,9;5
2016-01-01;4;4,9
2016-04-01;3,9;4,9
2016-07-01;3,9;4,9
2016-10-01;3,9;4,8
2017-01-01;3,8;4,6
2017-04-01;4;4,4
2017-07-01;4,1;4,3
2017-10-01;4,1;4,2
2018-01-01;4,3;4
2018-04-01;4,5;3,9
2018-07-01;4,6;3,8
2018-10-01;4,8;3,8
2019-01-01;4,6;3,9
2019-04-01;4,6;3,6
2019-07-01;4,5;3,6
2019-10-01;4,4;3,6
2020-01-01;4,2;3,8
2020-04-01;3,9;13
2020-07-01;4,4;8,8
2020-10-01;4,6;6,8
2021-01-01;5,2;6,2
2021-04-01;6,4;5,9
2021-07-01;6,9;5,1
2021-10-01;7;4,2
2022-01-01;7,2;3,9
2022-04-01;7,1;3,6
2022-07-01;6,6;3,5
2022-10-01;6,5;3,6
2023-01-01;6;3,5
2023-04-01;5,8;3,5
2023-07-01;5,5;3,6
2023-10-01;5,2;3,8
2024-01-01;5,1;3,8
2024-04-01;4,6;4
2024-07-01;4,4;4,2
2024-10-01;4,5;4,1
2025-01-01;4,4;4,1
2025-04-01;4,3;4,2
2025-07-01;4,3;4,3
2025-10-01;4,1;4,5